,omni_id,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,general_type,genre,school,palette_families,palette,geocoded,media,style,location,tag,dominant_color,dominant_color_family,description,dbp_name,dbp_birthplace,dbp_lat,dbp_long
85,9011542,mrs. charles deering (marion denison whipple),john singer sargent,john,singer sargent,1888,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=132&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/c885f89e-54fd-dae5-4f55-4d61db4e1b7a/full/6000,/0/default.jpg",painting,american art,united states,Reds Grays Blacks,"[u'#aea592', u'#938572', u'#766555', u'#4f392c', u'#4b2b20', u'#27231d', u'#1d1b19', u'#38221a', u'#372c22', u'#2d2a22', u'#2b2620', u'#22201c']",f,"oil paint (paint), canvas",impressionism,gallery 176,"oil paint (paint), people, realism, canvas, impressionism, chicago, portraits, painting",#22201c,Blacks,"<p>the sitter was the wife of charles deering, chicago businessman, important benefactor of the art institute, and lifelong friend and patron of artist john singer sargent. in this half-length portrait, the painter depicted marion deering seated with her right arm resting on a chairback, her eyes engaging the viewer. sargent rendered her face and hand with a high degree of finish, skills he had fine-tuned in the 1870s while a student in paris. the broader handling of paint in her dress and its lace embellishments signals sargents facility with the tactile and expressive possibilities of paint. indeed, in the mid-1880s, sargent not only worked in portraiture, but also experimented with the themes and vocabularies of impressionism.</p>",John Singer Sargent,Florence,43.7698712,11.2555757
86,9012301,self-portrait,max beckmann,max,beckmann,1937,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=140&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/72f57da7-50cc-76ba-2be5-500745b73d7a/full/6000,/0/default.jpg",painting,modern art,germany,Reds Grays Yellows Blacks Cyans,"[u'#dd9344', u'#ddcfb4', u'#979791', u'#956954', u'#251b1f', u'#1e1318', u'#1e191d', u'#5b261f', u'#335650', u'#181217', u'#17181b', u'#130c12']",f,"oil paint (paint), canvas",modernism,gallery 395,"oil paint (paint), black (color), modernism, orange (color), green (color), men, blue (color), canvas, white (color), painting, fashion, red (color), oil painting, modern and contemporary art, painting (image making), self-portraits, hands",#979791,Grays,"<p>max beckmann was one of the weimar republics most honored artists and one of those most vilified by the nazis. this self-portrait was perhaps the last painting the artist completed in berlin before he and his wife fled to the netherlands on july 20, 1937. their flight occurred just two days after adolf hitler delivered a speech condemning modern art and one day after the opening of the exhibition <em>degenerate art</em>, the nazis official denigration of the avant-garde, which included twenty-two of beckmanns works. the artist departed germany just in time: in 1937 more than five hundred of his works were confiscated from public collections.</p>
<p>the most brilliantly colored and aggressive of all of beckmanns self-portraits (he painted over eighty), this powerful work depicts the artist, near life size, on the staircase of a hotel lobby, separated from two figures in the background on the right. beckmann steps to the left, while his dar",Max Beckmann,Leipzig,51.3406321,12.3747329
87,9012719,"cocktail set, model 326",russel wright,russel,wright,1930,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=145&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/8b31da0c-06e4-7106-49c0-5a8e0a9c2f7d/full/6000,/0/default.jpg",tray,american art,united states,Whites Grays Yellows Blacks,"[u'#dfd9d2', u'#b0a9a0', u'#9e8361', u'#826341', u'#5c4b3d', u'#474545', u'#363131', u'#3a3838', u'#302e2f', u'#2c2827', u'#232222', u'#191818']",f,"cork (bark), aluminum (metal)",modernism,gallery 264,"cork (bark), drinking vessel, modernism, dining, aluminum (metal), tray, drinking, vessel, art deco, decorative arts",#232222,Blacks,"<p>in 1930 russel wright established a workshop in new york city and began producing informal serving accessories, including this cocktail service. his design reveals the great allure that streamlined forms had during the 1930s: one reviewer commented that cylindrical and spherical forms are indicative of the speed of our age. wright nonetheless incorporated practical features into his design; his workshop marketed these aluminum accessories as featherweight, so that even the frailest hostess finds no difficulty in handling them. in addition, the cork feet of the glasses provide built-in coasters, while the shakers cork-covered neck doubles as an insulated handle. despite wrights goal of reaching a wide audience through mass production, his <em>cocktail set</em> was completely handmade, and great variations exist between known examples.</p>",Russel Wright,"Lebanon, Ohio",33.929793,35.5891902
92,9013545,jim and his daughter,walter ufer,walter,ufer,1923,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=153&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/d471b4df-91de-c0e1-38e9-3297b3f88887/full/6000,/0/default.jpg",painting,american art,united states,Reds Grays Yellows Blacks Whites,"[u'#a9bfab', u'#a3854f', u'#996132', u'#87aba9', u'#666749', u'#e0e6cb', u'#cfd2ac', u'#baccb0', u'#b6ac79', u'#99ac90', u'#4e3629', u'#191c1f']",f,"oil paint (paint), canvas",impressionism,gallery 163,"oil paint (paint), canvas, impressionism, chicago, children, painting, modern and contemporary art",#191c1f,Blacks,"<p>the man who makes himself the [jean-franois] millet of the indian, who paints him just as he is, as he works, as he lives, will strike the lasting note. chicagos mayor, carter h. harrison, jr., gave this advice to walter ufer during the artists first summer in new mexico in 1914, suggesting that he should not, for example, rehash romantic interpretations of native american life. the artist took harrisons advice and depicted the lives and work of contemporary native americans, including ufers favorite sitter and close friend, jim, shown here in profile with his daughter.</p>",Walter Ufer,"Louisville, Kentucky",38.2542376,-85.759407
93,9013541,the bronco buster,frederic remington,frederic,remington,1895,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=153&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/446af9b2-c4e8-c067-e5cb-f1a7953c7687/full/6000,/0/default.jpg",sculpture,american art,united states,Whites Grays,"[u'#ededee', u'#ebebed', u'#e9e9eb', u'#e7e7ea', u'#e4e5e8', u'#6a616c', u'#f0f0f2', u'#ececed', u'#eaeaeb', u'#e8e8ea', u'#bcbac0', u'#433843']",f,"nonferrous metal, copper alloy, inorganic material, bronze, metal",19th century,gallery 163,"nonferrous metal, copper alloy, people, horses, inorganic material, bronze, metal, sculpture, american arts, portraits, sculpting, 19th century, cowboys, horseback riding, animals, rodeos",#6a616c,Grays,"<p>although born, raised, and educated on the east coast, frederic remington achieved considerable success as americas leading illustrator of life on the western frontier. in 1894 he turned his skill and energy to sculpture. this vigorous portrayal of a cowboy taming a wild horse was the artists first effort in bronze, and with an illustrators eye for drama, he captured the single most illuminating moment of the event. although the horse and rider struggle against each other, they are pulled together at the instant of utmost exertion. as the bronco rears up, back arched and splayed tail snapping, the cowboy leans forward, his whip suspended in midair as he clutches the reins and horses mane. this minutely rendered, spirited, and technically remarkable depiction of life in the wild west became one of the most popular american bronzes of the early twentieth century. the art institutes version is one of nearly seventy made at the henry-bonnard",Frederic Remington,New York,40.7308619,-73.9871558
95,9013559,"the solemn pledge, taos indians",walter ufer,walter,ufer,1916,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=153&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/273d5568-d7a6-acea-7ad6-884cc8cd212f/full/6000,/0/default.jpg",painting,american art,united states,Whites Grays Cyans,"[u'#e2ede6', u'#c0d9d9', u'#acb9a0', u'#a6c3cb', u'#9f9f73', u'#7ea1ba', u'#d5decc', u'#b2ced0', u'#9aa69a', u'#92b6c6', u'#79807e', u'#443c3c']",f,"oil paint (paint), organic material",impressionism,gallery 163,"oil paint (paint), people, organic material, impressionism, chicago, american arts, portraits, painting",#92b6c6,Cyans,"<p>walter ufer decided to become an artist after attending the 1893 chicago worlds columbian exposition, ultimately enrolling at the school of the art institute. he traveled to taos, new mexico, for the first time in 1914 and by 1917 became an active member of the taos society of artists, whose mission was to promote, maintain and preserve high standards of artistic excellence in painting . . . as it pertains to new mexico. in <em>the solemn pledge,</em> ufer created a monumental composition that contrasts a bright, vivid palette with the solemnity of three generations of taos indians. the painting won the martin b. cahn prize at the art institutes annual exhibition of american art in 1916 and was purchased for the permanent collection that year.</p>",Walter Ufer,"Louisville, Kentucky",38.2542376,-85.759407
97,9014099,portrait of marevna,diego rivera,diego,rivera,1915,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=159&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/7e327554-cb76-cafc-e59b-b9f07afb7b42/full/6000,/0/default.jpg",oil on canvas,american art,mxico,Whites Grays Blacks,"[u'#deddc0', u'#9b9996', u'#735b4c', u'#373737', u'#342d2b', u'#2c2b2a', u'#262929', u'#232322', u'#1b1b1b', u'#77767b', u'#4e4037', u'#395852']",f,"oil paint (paint), canvas",modernism,gallery 265,"oil paint (paint), people, modernism, oil on canvas, canvas, portraits, painting, oil painting, modern and contemporary art, cubism, painting (image making)",#77767b,Grays,"<p>early in his career, diego rivera enjoyed a brief but sparkling period as a cubist painter. after years of rigorous art training in mexico city, he traveled throughout europe from 1907 to 1910. in l9l2 rivera settled in paris, where he befriended other emigr avant-garde artists, such as amedeo modigliani and piet mondrian. during world war l, he became a leading member of a group of cubists that included albert gleizes, juan gris, and jean metzinger.</p>
<p>the subject of this portrait is riveras lover at the time, marevna vorobv-stebelska, a russian-born painter and writer. photographs of the sitter, which show her distinctive bobbed hair, blond bangs, and prominent nose, reveal riveras gifts of observation. seated in an overstuffed armchair, she turns away from the book she holds in her lap, as if momentarilyperhaps angrilydistracted. vorobv-stebelska is stylishly dressed in a gold-brocade bodice, white sleeves, and a dress whose shape",Diego Rivera,Guanajuato City,20.9876996,-101.0
102,9015266,sunset,paul klee,paul,klee,1930,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=173&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/c7a7b095-18de-c23f-6f71-cf051bdd901a/full/6000,/0/default.jpg",oil on canvas,modern art,germany,Reds Grays Yellows,"[u'#b88f69', u'#b6b398', u'#b39f7a', u'#af7d59', u'#a76948', u'#9cb9aa', u'#835f4a', u'#a88e6b', u'#a07c5e', u'#9b9e84', u'#908e7a', u'#847a6b']",f,"oil paint (paint), canvas",modernism,gallery 393,"suns, landscapes, oil paint (paint), modernism, orange (color), oil on canvas, gold (color), blue (color), geometric, canvas, faces, eyes, painting, red (color), oil painting, modern and contemporary art, painting (image making), sky, dots",#a76948,Reds,"<p>paul klee was an artist and teacher at the bauhaus for most of that famed schools existence. initially head of the bookbinding department, klee made his greatest contribution as a lecturer on the theory of form in art for the basic design course. there, he developed his ideas about the polyphony of paintingthe simultaneous effect of formal elements that produces a transformed beholder of art.</p>
<p>klee was also a trained musician and shared with many artists of the early twentieth century the idea that music was the key to producing a new, abstract art. he was interested in the temporal character of music and its possible translation into forms of art. works like <em>sunset</em> reflect the principles of rhythm: linear structures, forms, and tonal values are orchestrated into a measured, vibrating image. to produce such a harmonious effect, klee layered an intricate pattern of dots over a neutral background. abstract, geometric, and ove",Paul Klee,Münchenbuchsee,47.0213315,7.4519196
104,9015474,tall clock,george grant elmslie,george,grant elmslie,1912,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=176&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/7d426f2f-1243-40a0-cedc-f1b999074575/full/6000,/0/default.jpg",case furniture,american art,milwaukee,Reds Grays Blacks,"[u'#cbc7c2', u'#c6bfb8', u'#c1b9af', u'#aba396', u'#978d7f', u'#847567', u'#726b5b', u'#b7aea4', u'#7a4842', u'#594039', u'#4f2c26', u'#311e19']",f,mahogany,20th century,gallery 178,"woodworking, american decorative arts, furniture, furniture, chicago, case furniture, american arts, decorative arts, 20th century, mahogany",#4f2c26,Reds,"<p>this handsome tall-case clock was designed by the firm of george grant elmslie and william gray purcell for the henry babson house in riverside, illinois. although louis sullivan designed the house in 1907, a large part of the schemeincluding the built-in and freestanding furniturewas actually executed by elmslie, who was then working for sullivan. in 1912 elmslie and his firm made additions to the house, including eight pieces of furniture. this elegant clock, whose works and nine chimes were imported from germany, dates from this later commission. its hands were executed by chicago metalsmith robert riddle jarvie according to elmslies design. in his concern over creating an organic, harmonious relationship between the interior of a house and its exterior, the scottish-born elmslie found a staunch ally in designer george niedecken, president of niedecken-walbridge, a firm based in milwaukee, wisconsin, which made the clocks mahogany case",George Grant Elmslie,Aberdeenshire,57.166667,-2.666667
105,9015481,rainy day,frank weston benson,frank,weston benson,1906,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=176&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/d9dd54f6-0059-54d2-6478-4584b85f69fc/full/6000,/0/default.jpg",oil on canvas,american art,united states,Grays,"[u'#a59b7f', u'#9a896a', u'#8d7b5f', u'#786f5a', u'#6d5b49', u'#52473e', u'#9c9074', u'#8e866c', u'#897053', u'#73644f', u'#5d584c', u'#3f3a36']",f,oil paint (paint),impressionism,gallery 178,"leisure, everyday life (genre), oil paint (paint), people, domestic scenes, oil on canvas, impressionism, portraits, women, painting, fashion, world's fairs, modern and contemporary art, architecture, chicago world's fairs, century of progress",#3f3a36,Grays,"<p>in this interior scene of the artists summer residence in maine, frank weston benson depicted his daughter<br>elisabeth curled up in a rattan chair near a large fireplace. a key figure of american impressionism, benson is best known for his outdoor figural compositionsoften featuring his wife or childrenin sun-filled, breezy landscapes. <em>rainy day</em>, in contrast, is a study of the subtler effects of interior light, with flat, overcast lighting filtering in from the left and embers glowing at far right. in the late 19th century, painters including benson, edmund tarbell, and thomas wilmer dewing composed scenes of women in interiors in a contemplative state or engaged in activities like sewing and reading, suggesting links between domesticity, femininity, and cultural refinement.</p>",Frank Weston Benson,"Salem, Massachusetts",42.5195292,-70.8967226
106,9015484,still life with geranium,henri matisse,henri,matisse,1906,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=176&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/b11b21e0-8a59-06c6-c300-ae4d2e113ea0/full/6000,/0/default.jpg",painting,modern art,france,Reds Grays Yellows Cyans,"[u'#ad8166', u'#989f9a', u'#739f9a', u'#6d5342', u'#477d71', u'#27473a', u'#ceceb4', u'#c8beaa', u'#c2a889', u'#bdb2af', u'#9bb4b3', u'#798074']",f,"oil paint (paint), canvas",post-impressionism,gallery 391,"pink (color), oil paint (paint), post-impressionism, flowers, green (color), still life, fruit, blue (color), canvas, brown (color), plants, white (color), painting, red (color), oil painting, modern and contemporary art, painting (image making), servingware, sculptures",#27473a,Cyans,"<p>like his artistic hero, paul czanne, henri matisse merged the traditional and the avant-garde. in <em>still life with geranium</em>, he transformed a simple still life into a populated arcadian landscape painting, rendered in the brilliant color, thick paint, and rapid brushwork characteristic of the group of painters known as the fauves (french for wild beasts). matisse was recognized by critics as the leader of this group.</p>
<p>this composition is one of contraststhe pale palette and light brushwork in the upper half of the picture are juxtaposed with the darker colored, heavily painted lower half; the firmly planted pose of the female figure is contraposed with the almost-eeing figure of the male; and the red vegetables grown near paris are set near ceramic objects from exotic, faraway places. one of many still-life paintings in which matisse incorporated his own figurative sculptures, here the artist challenged his viewers expectati",Henri Matisse,Nord (French department),N\A,N\A
107,9015497,the mill pond,george inness,george,inness,1889,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=176&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/c1487681-3887-ffce-c695-c1730a6c3011/full/6000,/0/default.jpg",painting,american art,united states,Reds Grays Yellows Blacks,"[u'#aea37a', u'#938760', u'#81653a', u'#804720', u'#783916', u'#603717', u'#556140', u'#533316', u'#554926', u'#463416', u'#3a3215', u'#38240e']",f,"oil paint (paint), organic material",impressionism,gallery 179,"landscapes, oil paint (paint), organic material, impressionism, american arts, painting",#804720,Reds,"<p>one of the most important landscape painters of the 19th century, george inness excelled at capturing the poetics and mood of his environs, finding spiritual resonances in nature, from its grand vistas to its quiet nooks. <em>the mill pond</em> depicts a sylvan setting. a tall tree with autumnal foliage dominates the composition at left, shading the banks of a pond, where a figure rows a boat. brilliant pigments of orange, green, and blue electrify an otherwise tranquil scene. through color and atmosphere rather than line or detail, inness communicated a distinctive intensity of vision, fueled by an individual encounter with nature.</p>","George Inness, Jr.",Paris,48.8566101,2.3514992
108,9015503,city landscape,joan mitchell,joan,mitchell,1955,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/3f7b2a2e-ea6c-0834-9c13-87b96e98a68a/full/6000,/0/default.jpg",painting,contemporary art,united states,Reds Grays Whites Yellows We don't know yet...,"[u'#c9bbb4', u'#b5afa3', u'#b28976', u'#b19f8f', u'#8d857a', u'#894b4c', u'#e7decb', u'#decebb', u'#cec8ba', u'#8a685d', u'#c9b59b', u'#494242']",f,"oil paint (paint), linen (material)",abstract expressionism,gallery 291,"gray (color), contemporary, pink (color), oil paint (paint), black (color), orange (color), green (color), abstract expressionism, cityscapes, purple (color), yellow (color), brown (color), white (color), painting, linen (material), red (color), oil painting, modern and contemporary art, painting (image making)",#c9bbb4,Grays,"<p>although influenced by abstract expressionist artists in new york in the early 1950s, joan mitchell did not prioritize self-expression: her often exuberant abstractions were about landscape, not about me, she once explained. mitchell painted large, light-filled canvases animated by loosely applied skeins of bright colorhere infused with the energy of a large metropolis.</p>
<p>the title suggests a relationship between the paintings network of pigments and the nerves or arteries of an urban space. the sense of spontaneity conveyed in city landscape, however, belies mitchells methods. unlike many of her contemporaries, who were dubbed action painters, mitchell worked slowly and deliberately. i paint a little, she said. then i sit and look at the painting, sometimes for hours. eventually, the painting tells me what to do.</p>",Joan Mitchell,Chicago,41.8755616,-87.6244212
109,9015507,greyed rainbow,jackson pollock,jackson,pollock,1953,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/67dfab14-4fa1-b8ad-8bde-a8e011d74911/full/6000,/0/default.jpg",painting,contemporary art,united states,Whites Grays Blacks,"[u'#cecbbc', u'#bebbae', u'#a6a59c', u'#9b998f', u'#817d75', u'#4b4945', u'#eeead9', u'#dedaca', u'#b3aea2', u'#8e8c83', u'#6b6a64', u'#242422']",f,"oil paint (paint), linen (material)",contemporary,gallery 291,"gray (color), contemporary, oil paint (paint), black (color), blue (color), yellow (color), brown (color), white (color), painting, linen (material), red (color), oil painting, modern and contemporary art, painting (image making)",#4b4945,Grays,"<p>in the late 1940s jackson pollock developed a revolutionary form of abstract expressionism by dripping, pouring, and splashing paint onto large-scale canvases. pollock emphasized the expressive power of the artists gestures, materials, and tools, often applying paint with sticks, trowels, and palette knives instead of brushes. he also challenged the concept of easel painting by working on canvases placed either on the floor or fixed to a wall. with no apparent beginning or end, top or bottom, his paintings imply an extension of his art beyond the edges of the canvas, engulfing the viewer. among the last great purely abstract paintings pollock made before his untimely death in 1956, <em>greyed rainbow</em> is a quintessential example of action painting. the paint application ranges from thick chunks squeezed directly from a tube to thin, meandering lines poured from a container with a small hole or squirted from a baster. the work is predo",Jackson Pollock,"Cody, Wyoming",44.5263107,-109.0563923
110,9015508,bathers by a river,henri matisse,henri,matisse,1909,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/2f2fb68f-7a92-5805-deed-a57c5aaec251/full/6000,/0/default.jpg",oil on canvas,modern art,france,Whites Grays Blacks,"[u'#dcddd4', u'#bfbdba', u'#9c9d9b', u'#878783', u'#769d89', u'#747372', u'#4d6f54', u'#232525', u'#e4e4d9', u'#a0b4c0', u'#474a4a', u'#29382f']",f,"oil paint (paint), canvas",post-impressionism,gallery 391,"gray (color), pink (color), oil paint (paint), black (color), post-impressionism, green (color), oil on canvas, blue (color), canvas, plants, white (color), women, painting, rivers, oil painting, modern and contemporary art, nudes, painting (image making), bathers",#9c9d9b,Grays,"<p>henri matisse considered <em>bathers by a river</em> to be one of the five most pivotal works of his career, and with good reason: it facilitated the evolution of the artists style over the course of nearly a decade. originally, the work was related to a 1909 commission by the russian collector sergei shchukin, who wanted two large canvases to decorate the staircase of his moscow home. matisse proposed three pastoral images, though shchukin decided to purchase only two works, <em>dance ii</em> and <em>music</em> (both state hermitage museum, saint petersburg).</p>
<p>four years later, matisse returned to this canvas, the rejected third image, altering the idyllic scene and changing the pastel palette to reflect his new interest in cubism. he reordered the composition, making the figures more columnar, with faceless, ovoid heads. over the next years, matisse transformed the background into four vertical bands and turned the formerly blue r",Henri Matisse,Nord (French department),N\A,N\A
111,9015509,bust from the adams memorial,augustus saint-gaudens,augustus,saint-gaudens,1892,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/7bb8af46-aaa3-4372-ec16-0a41e1da7dc3/full/6000,/0/default.jpg",bust/head,american art,united states,Whites Grays Blacks,"[u'#f8f7f5', u'#e3e1db', u'#c1bdb5', u'#a9a59c', u'#999588', u'#767367', u'#6b675c', u'#d4d0ca', u'#cfccc5', u'#878476', u'#555047', u'#2b2824']",f,bronze,realism,gallery 179,"people, realism, bronze, bust/head, chicago, sculpture, portraits",#a9a59c,Grays,"<p>this bust comes from the upper portion of augustus saint-gaudenss 188691 full-figure tomb monument for marian hooper adams, the wife of historian and philosopher henry adams, in washingtons rock creek cemetery. because marians death was a suicide and the couple was fascinated by asian cultures, henry asked saint-gaudens to avoid christian symbolism and instead evoke the contemplative compassion derived from buddhist philosophy. when chicago architect daniel burnham visited saint-gaudens in 1892, he saw a plaster cast of the figures head and was enthralled by its mysterious yet meditative quality. in 1893, perhaps in celebration of chicagos worlds columbian exposition, saint-gaudens gave the bust to burnham, who later had four bronzes cast from it.</p>",Henri Matisse,Nord (French department),N\A,N\A
112,9015510,excavation,willem de kooning,willem,de kooning,1950,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/bcc4339b-4c1d-5c53-e60a-e76ccfe1f774/full/6000,/0/default.jpg",oil on canvas,contemporary art,united states,Whites Grays Yellows,"[u'#e9dfbd', u'#d9cdab', u'#d1c196', u'#c2b99e', u'#b0a58c', u'#a39d88', u'#988f7b', u'#837967', u'#564b3f', u'#e0d4b2', u'#d1c4aa', u'#bdaa8d']",f,"oil paint (paint), canvas",contemporary,gallery 291,"contemporary, oil paint (paint), oil on canvas, geometric, canvas, painting, oil painting, modern and contemporary art, painting (image making), abstract shapes",#837967,Grays,"<p>willem de kooning was a central figure in abstract expressionism, an art movement that espoused the painterly actions of the artist as a sign of his or her emotions. de kooning completed <em>excavation</em> in june 1950, just in time for it to be exhibited in the twenty-fifth venice biennale. his largest painting up to that date, the work exemplifies the dutch-born innovators style, with its expressive brushwork and distinctive organization of space into sliding planes with open contours. according to the artist, the point of departure for the painting was an image of women working in a rice field in <em>bitter rice</em>, a 1949 neorealist film by italian director giuseppe de santis. the mobile structure of hooked calligraphic lines defines anatomical partsbird and fish shapes, human noses, eyes, teeth, necks, and jawsthat seem to dance across the painted surface, revealing the particular tension between abstraction and figuration that is",Willem de Kooning,Rotterdam,51.92779805,4.48862326925829
113,9015511,the home of the heron,george inness,george,inness,1893,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/43c9a463-8b77-f51d-0108-f785961c30a2/full/6000,/0/default.jpg",painting,american art,florida,Yellows Blacks,"[u'#775319', u'#694513', u'#5d4114', u'#5b3b0f', u'#47330e', u'#432d08', u'#32250c', u'#8d6421', u'#6d4c15', u'#644413', u'#533810', u'#4e360f']",f,"oil paint (paint), organic material",post-impressionism,gallery 179,"weather/seasons, landscapes, oil paint (paint), post-impressionism, birds, organic material, american arts, circles, painting, oil painting, painting (image making), animals",#32250c,Blacks,"<p>the landscape painter george inness once explained, the true purpose of the painter is simply to reproduce in other minds the impression which a scene has made upon him . . . to awaken an emotion. inness sought, particularly in his later years, to record not so much the appearance of nature as its poetry. to achieve this, he limited his subject matter to, in his words, rivers, streams, the rippling brook, the hillside, the sky, the clouds. for half a century, the artist captured these moisture-laden subjects in all seasons, during all hours of the day and night. first he made small, quick sketches in the field or wood, and then, in the seclusion of his studio, he used them to create the more than one thousand oils credited to him.</p>
<p>inness completed <em>the home of the heron</em> near the end of his career, after he had finally achieved a degree of comfort and success. the painting is characteristic of his late work, with loosely ren","George Inness, Jr.",Paris,48.8566101,2.3514992
118,9015533,the artist looks at nature,charles sheeler,charles,sheeler,1943,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/d8b6266f-2137-899b-f54a-633f34f922b2/full/6000,/0/default.jpg",painting,american art,united states,Grays Yellows,"[u'#dac9a8', u'#938b5e', u'#8d7b66', u'#746356', u'#bdb271', u'#b0a864', u'#ad9a86', u'#a59c4a', u'#939843', u'#6e7c38', u'#5f624c', u'#5b4c49']",f,"oil paint (paint), canvas",modernism,gallery 263,"landscapes, oil paint (paint), modernism, canvas, painting, oil painting, modern and contemporary art, painting (image making)",#a59c4a,Yellows,"<p>a photographer as well as a painter, charles sheeler considered the purposes of art as carefully as anyone of his generation of early twentieth-century modernists. in both media, he usually drew his subjects from the world of constructed objects: urban architecture, factories, and barns, as well as interiors often furnished with the spare, elegant eighteenth- and nineteenth-century shaker furniture he admired. these subjects were rendered (or, in the case of his most abstract paintings, suggested) in a hard-edged, controlled technique indicative of the artists restrained and intellectual point of view and interest in formal values.</p>
<p>for the typically objective sheeler, <em>the artist looks at nature</em> is an unusual work because it represents an imaginary scene. here we see the artist outdoors, but what is before him is not what is on his easel. the unfinished work reproduces <em>interior with stove</em> (1932; national gallery of",Charles Sheeler,Pennsylvania,40.9699889,-77.7278831
120,9015539,woman with a bird cage,rufino tamayo,rufino,tamayo,1941,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=177&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/27643d01-4e53-b373-2788-66f1eeeebb1a/full/6000,/0/default.jpg",painting,american art,mxico,Reds Grays Yellows Blacks,"[u'#6a6760', u'#5d5f62', u'#515152', u'#2f2d2c', u'#744240', u'#724e3f', u'#645039', u'#585039', u'#53667f', u'#47403b', u'#644239', u'#393c35']",f,"oil paint (paint), canvas",cubism,gallery 263,"oil paint (paint), people, canvas, portraits, painting, modern and contemporary art, cubism",#393c35,Grays,"<p>seeking an expressive and modern manner of painting, rufino tamayo fused mexican traditions with avant-garde artistic innovations. in <em>woman with a bird cage</em>, the influence of cubism is apparent in tamayos depiction of the womans body, which has been fractured into planes of color. yet her distinctive elongated ear, large nose, open mouth, and the other aspects of her physiognomy reflect the artists study of pre-columbian art. although tamayo, unlike his countrymen diego rivera and jos clemente orozco, did not address overtly social themes in his paintings, his references to the ancient and indigenous art forms of his country suggest that his art was no less concerned with aspects of mexican identity.</p>",Rufino Tamayo,Veracruz,19.333333,-96.666667
